"Tag Code","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.003DFCB7AE","Steelhead","Wild Fish or Natural Production","TUM","9/23/2021","Observation","Instream Remote Detection System","CHL","4/25/2022 8:36:21 AM","86","100","","","1"
"3DD.003DFCDF2E","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 2:38:26 AM","81","100","","","1"
"3DD.003DFCDF35","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 2:54:37 PM","81","100","","","1"
"3DD.003DFCDF38","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 1:17:05 PM","84","100","","","1"
"3DD.003DFCDF41","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/29/2022 12:22:57 PM","86","100","","","1"
"3DD.003DFCDF45","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 9:21:30 PM","85","100","","","1"
"3DD.003DFCDF45","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 9:21:39 PM","86","100","","","1"
"3DD.003DFCDF4A","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/28/2022 6:57:01 AM","83","100","","","1"
"3DD.003DFCDF53","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 1:08:58 PM","81","100","","","1"
"3DD.003DFCDF5E","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 4:10:46 PM","81","100","","","1"
"3DD.003DFCDF62","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 4:24:30 PM","85","100","","","1"
"3DD.003DFCDF63","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 7:11:22 AM","86","100","","","1"
"3DD.003DFCDF63","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 10:31:07 AM","86","100","","","1"
"3DD.003DFCDF63","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 1:42:32 PM","86","100","","","1"
"3DD.003DFCDF66","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 2:54:24 PM","83","100","","","1"
"3DD.003DFCDF66","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 3:13:22 PM","85","100","","","1"
"3DD.003DFCDF66","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 4:43:46 PM","85","100","","","1"
"3DD.003DFCDF66","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 5:57:51 PM","85","100","","","1"
"3DD.003DFCDF66","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 7:21:12 PM","85","100","","","1"
"3DD.003DFCDF6C","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 4:22:38 PM","81","100","","","1"
"3DD.003DFCDF6E","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 5:10:16 PM","81","100","","","1"
"3DD.003DFCDF6F","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 12:54:00 PM","81","100","","","1"
"3DD.003DFCDF80","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 11:33:31 PM","86","100","","","1"
"3DD.003DFCDF88","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/28/2022 7:30:57 PM","81","100","","","1"
"3DD.003DFCDF90","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 1:24:03 PM","86","100","","","1"
"3DD.003DFCDF95","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 4:49:19 PM","82","100","","","1"
"3DD.003DFCDF97","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 12:39:07 PM","81","100","","","1"
"3DD.003DFCDFA1","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 12:52:42 PM","81","100","","","1"
"3DD.003DFCDFA4","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/27/2022 12:40:22 PM","81","100","","","1"
"3DD.003DFCDFA8","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 6:19:34 PM","85","100","","","1"
"3DD.003DFCDFA8","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 6:19:47 PM","84","100","","","1"
"3DD.003DFCDFBC","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 2:59:44 PM","81","100","","","1"
"3DD.003DFCDFC9","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 2:14:13 PM","83","100","","","1"
"3DD.003DFCDFD9","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 7:41:58 PM","86","100","","","1"
"3DD.003DFCDFE6","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 2:36:15 PM","81","100","","","1"
"3DD.003DFCDFEC","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 8:09:16 PM","86","100","","","1"
"3DD.003DFCDFF7","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/28/2022 10:59:46 AM","84","100","","","1"
"3DD.003DFCDFFF","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 4:32:32 PM","81","100","","","1"
"3DD.003DFCE008","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 7:46:37 PM","83","100","","","1"
"3DD.003DFCE01B","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 3:02:02 PM","86","100","","","1"
"3DD.003DFCE020","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 9:18:32 PM","86","100","","","1"
"3DD.003DFCE02C","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 4:39:50 PM","85","100","","","1"
"3DD.003DFCE033","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 5:05:45 PM","83","100","","","1"
"3DD.003DFCE03C","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 5:19:39 PM","81","100","","","1"
"3DD.003DFCE03D","Steelhead","Hatchery Reared","CHIP","3/30/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 5:33:36 PM","86","100","","","1"
"3DD.003DFCE03E","Steelhead","Hatchery Reared","CHIP","3/31/2022","Observation","Instream Remote Detection System","CHL","4/26/2022 2:19:58 PM","85","100","","","1"
